Address,Quantity,Percentage
"0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640","128,911,593.538064108706343532","35.8088%"
"0x04a9edd12ed304efb5e5fe83109a65e8e84799c3","11,585,422.34196886573304674","3.2182%"
"0x2ff064d951996c9fe70d6ba22d8684f37b2e24ec","8,724,209.429883305279466855","2.4234%"
"0xe7f13052fe2ba7d038dac18de5e730542e3979bc","5,651,443.975977987498566606","1.5698%"
"0xe082bda07536420401187ba7225ff5f56c30998b","621,465.061197520521453937","0.1726%"
"0x55122fdca4ba43294677d96c12ce76dabc459a2b","482,170.933875776131587722","0.1339%"
"0xaa36deb402ccf0fee2aa09974552154a9564ae20","370,644.8375158071255879","0.1030%"
"0x6687c671980e65ebd722b9146fc61e2471558dd6","3.699476686919040293","0.0000%"
"0xe18ff9d58b4deb8c17ccba79a87fbed548ab06b3","0.000850515676449484","0.0000%"
"0xec164c8bfcaded247901ab2aab1ef03927596238","0.000000000000000003","0.0000%"
